spotify_artist_id,artist_name,genre
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,yacht rock
5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup,neon pop punk
5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup,pop punk
5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup,pop rock
5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup,texas pop punk
3iuobQyYhofKRr5W6HZoKt,Phoebe Snow,folk
3iuobQyYhofKRr5W6HZoKt,Phoebe Snow,jazz blues
3iuobQyYhofKRr5W6HZoKt,Phoebe Snow,singer-songwriter
7qAcXJgt1PWnxwUgxMdyuk,Sick Puppies,alternative metal
7qAcXJgt1PWnxwUgxMdyuk,Sick Puppies,nu metal
7qAcXJgt1PWnxwUgxMdyuk,Sick Puppies,post-grunge
5vDfbSPkurKQxpVVXALJ4K,Rise Of The Northstar,beatdown
5vDfbSPkurKQxpVVXALJ4K,Rise Of The Northstar,french hardcore
5vDfbSPkurKQxpVVXALJ4K,Rise Of The Northstar,neo metal
2J0JN7EFN10G1Tty6hX0AN,DJ ESCO,atl hip hop
2J0JN7EFN10G1Tty6hX0AN,DJ ESCO,trap
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,dance pop
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,pop
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,pop dance
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,pop rap
0IlQRCafsMrd0QkTRBU6n0,Surfer Blood,indie rock
0IlQRCafsMrd0QkTRBU6n0,Surfer Blood,indie surf
0IlQRCafsMrd0QkTRBU6n0,Surfer Blood,noise pop
61qs4x1f4a7FfV3Yqr7LW0,24 Flakko,korean trap
3jksrX4oBklxR78ft8gv3j,Plies,dirty south rap
3jksrX4oBklxR78ft8gv3j,Plies,miami hip hop
3jksrX4oBklxR78ft8gv3j,Plies,southern hip hop
3jksrX4oBklxR78ft8gv3j,Plies,trap
1O8CSXsPwEqxcoBE360PPO,Stratovarius,finnish power metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,neo classical metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,power metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,progressive metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,speed metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,symphonic metal
7Aq8lpLMSt1Zxu56pe9bmp,Jagged Edge,atl hip hop
7Aq8lpLMSt1Zxu56pe9bmp,Jagged Edge,contemporary r&b
7Aq8lpLMSt1Zxu56pe9bmp,Jagged Edge,hip pop
7Aq8lpLMSt1Zxu56pe9bmp,Jagged Edge,r&b
7Aq8lpLMSt1Zxu56pe9bmp,Jagged Edge,urban contemporary
3J6OxkhyHNrmrAGPcv3x3i,Erin Bode,audiophile vocal
1XCg1naL9u1UBFjGYp1rBN,8 Bit Beats,8-bit
6Xri2X6xp5SDLr08hva6Bb,Super Future,downtempo bass
0BJeP79i5wKgCqsEEiQ7G0,Helena Deland,indie quebecois
23zg3TcAtWQy7J6upgbUnj,USHER,atl hip hop
23zg3TcAtWQy7J6upgbUnj,USHER,contemporary r&b
23zg3TcAtWQy7J6upgbUnj,USHER,dance pop
23zg3TcAtWQy7J6upgbUnj,USHER,pop
23zg3TcAtWQy7J6upgbUnj,USHER,r&b
23zg3TcAtWQy7J6upgbUnj,USHER,rap
23zg3TcAtWQy7J6upgbUnj,USHER,south carolina hip hop
23zg3TcAtWQy7J6upgbUnj,USHER,urban contemporary
5Nf5yishRW9Ye174sJISkg,London On Da Track,atl hip hop
